created_at,State,RTO,OEM,CNG ONLY,DIESEL,DIESEL/HYBRID,ELECTRIC(BOV),Petrol,Petrol /CNG,Petrol /HYBRID,PURE EV,STRONG HYBRID EV,PETROL/ETHANOL,Total,EV
2025-11-07T12:55:29.422226+00:00,Tamil Nadu,CHENNAI (NORTH,MERCEDES-BENZ INDIA PVT LTD,0,0,0,0,0,0,1,0,0,0,1,0
2025-11-07T12:55:29.422226+00:00,Tamil Nadu,CHENNAI (NORTH,NISSAN MOTOR INDIA PVT LTD,0,0,0,0,1,0,0,0,0,0,1,0
2025-11-07T12:55:29.422226+00:00,Tamil Nadu,CHENNAI (NORTH,RENAULT INDIA PVT LTD,0,0,0,0,0,0,0,0,0,2,2,0
2025-11-07T12:55:29.422226+00:00,Tamil Nadu,CHENNAI (NORTH,STELLANTIS AUTOMOBILES INDIA PVT LTD,0,0,0,0,0,0,0,0,0,1,1,0
2025-11-07T12:55:29.422226+00:00,Tamil Nadu,CHENNAI (NORTH,TOYOTA KIRLOSKAR MOTOR PVT LTD,0,0,0,0,0,0,0,0,0,3,3,0
2025-11-07T12:55:29.443519+00:00,Tamil Nadu,CHENNAI RTO,BYD INDIA PRIVATE LIMITED,0,0,0,0,0,0,0,1,0,0,1,1
2025-11-07T12:55:29.443519+00:00,Tamil Nadu,CHENNAI RTO,HONDA CARS INDIA LTD,0,0,0,0,2,0,0,0,0,0,2,0
2025-11-07T12:55:29.443519+00:00,Tamil Nadu,CHENNAI RTO,HYUNDAI MOTOR INDIA LTD,0,1,0,0,0,0,0,1,0,10,12,1
2025-11-07T12:55:29.443519+00:00,Tamil Nadu,CHENNAI RTO,JSW MG MOTOR INDIA PVT LTD,0,0,0,0,0,0,0,4,0,0,4,4
2025-11-07T12:55:29.443519+00:00,Tamil Nadu,CHENNAI RTO,KIA INDIA PRIVATE LIMITED,0,1,0,0,0,0,0,0,0,9,10,0
2025-11-07T12:55:29.443519+00:00,Tamil Nadu,CHENNAI RTO,MAHINDRA ELECTRIC AUTOMOBILE LTD,0,0,0,0,0,0,0,1,0,0,1,1
2025-11-07T12:55:29.443519+00:00,Tamil Nadu,CHENNAI RTO,MAHINDRA & MAHINDRA LIMITED,0,4,0,0,4,0,0,0,0,0,8,0
2025-11-07T12:55:29.443519+00:00,Tamil Nadu,CHENNAI RTO,MARUTI SUZUKI INDIA LTD,0,0,0,0,15,4,3,0,0,0,22,0
2025-11-07T12:55:29.443519+00:00,Tamil Nadu,CHENNAI RTO,MERCEDES-BENZ INDIA PVT LTD,0,0,0,0,0,0,1,0,0,0,1,0
